id;start_date;end_date;language
1;2020-05-26T03:02:32;2020-05-26T00:52:47;SPANISH
2;2020-05-25T07:52:43;2020-05-26T02:57:08;SPANISH
3;2020-05-25T22:48:02;2020-05-25T09:22:11;FRENCH
4;2020-05-25T14:05:33;2020-05-26T01:36:59;FRENCH
5;2020-05-25T23:35:51;2020-05-26T04:22:50;FRENCH
6;2020-05-25T17:28:12;2020-05-26T05:36:26;FRENCH
7;2020-05-25T19:13:32;2020-05-25T13:04:23;FRENCH
8;2020-05-25T18:09:45;2020-05-26T04:25:53;SPANISH
9;2020-05-25T16:50:54;2020-05-25T13:32:17;SPANISH
10;2020-05-26T01:02:58;2020-05-25T11:37:28;SPANISH
